title,release_year,rating,genres,description,poster_url
The Aristocats,1970,7.292,"Animation, Comedy, Family, Adventure","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",https://image.tmdb.org/t/p/w500/g6eNiFFakVOpEZvx8sL6IfFsrJE.jpg
National Lampoon's Vacation,1983,7.112,"Comedy, Adventure","Clark Griswold is on a quest to take his family to the Walley World theme park for a vacation, but things don't go exactly as planned.",https://image.tmdb.org/t/p/w500/q3DvoqY06yZnRp9faH6uge7n7VP.jpg
Room in Rome,2010,6.409,"Drama, Romance","A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls.",https://image.tmdb.org/t/p/w500/w90ItYf9qagQKVEBr1uFxPomAtf.jpg
Ocean's Eleven,2001,7.4,"Thriller, Crime","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",https://image.tmdb.org/t/p/w500/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg
The Expendables,2010,6.247,"Thriller, Adventure, Action","Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",https://image.tmdb.org/t/p/w500/j09ZkH6R4JWVylBcDai1laCmGw7.jpg
Purpose of Reunion 3,2018,5.3,"Drama, Romance","Sung-hyeon reunites with first love, Jin-hye at a class reunion.",https://image.tmdb.org/t/p/w500/nEwZspwNTkYkV75rvKlfGmvQTyr.jpg
Muzzle,2023,6.461,"Action, Thriller","LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a choke-hold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",https://image.tmdb.org/t/p/w500/qXChf7MFL36BgoLkiB3BzXiwW82.jpg
Deep Fear,2023,5.473,"Horror, Thriller, Action, Mystery",A solo trip aboard a yacht takes a terrifying turn when a woman encounters three drug traffickers clinging to the shattered remains of a boat. They soon force her to dive into shark-infested waters to retrieve kilos of cocaine from the sunken wreck.,https://image.tmdb.org/t/p/w500/ms1omYCnhnO3eDOI88tfiy6SaoX.jpg
Once Upon a Time in the West,1968,8.288,"Drama, Western","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",https://image.tmdb.org/t/p/w500/qbYgqOczabWNn2XKwgMtVrntD6P.jpg
Notorious,1946,7.7,"Thriller, Romance, Mystery","In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.",https://image.tmdb.org/t/p/w500/yUjKnpColooH88BFQJwwgNOQ56N.jpg
Hocus Pocus 2,2022,7.2,"Fantasy, Comedy, Family","29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",https://image.tmdb.org/t/p/w500/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg
Amber Alert,2024,7.0,"Thriller, Drama","An ordinary rideshare becomes a high-stakes game of cat and mouse when Jaq and Shane receive an alert of a child abduction on their phones. Quickly realizing they are behind a car that matches the description of the kidnapper’s, Jaq and Shane desperately race against time to save the child’s life.",https://image.tmdb.org/t/p/w500/sI0WxsgVFE5RkPA7G6PznWRxBEW.jpg
The Aristocats,1970,7.292,"Animation, Comedy, Family, Adventure","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",https://image.tmdb.org/t/p/w500/g6eNiFFakVOpEZvx8sL6IfFsrJE.jpg
Deep Blue Sea,1999,5.976,"Action, Horror, Science Fiction","Researchers on the undersea lab Aquatica have genetically altered the brains of captive sharks to develop a cure for Alzheimer's disease. But there's an unexpected side effect: the sharks got smarter, faster, and more dangerous. After a big storm damages their remote research facility, they must fight for their lives.",https://image.tmdb.org/t/p/w500/fyn0zyCI4kIlbDoHH0Hzv09hDC5.jpg
The Ritual,2017,6.246,"Horror, Thriller, Mystery","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",https://image.tmdb.org/t/p/w500/9022CYEGqYETCeXN1oE3uwYJWub.jpg
Indecent Proposal,1993,6.4,"Romance, Drama",John Gage offers a down-on-his-luck yuppie husband $1 million for the opportunity to spend the night with the man's wife.,https://image.tmdb.org/t/p/w500/a39WoiTJEG5kNLIrr3kOMwg3LFg.jpg
